originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_2000_,regionflow_2002_,regionflow_2004_,regionflow_2006_,regionflow_2008_,regionflow_2010_,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_2000,countryflow_2002,countryflow_2004,countryflow_2006,countryflow_2008,countryflow_2010,origin_show,destination_show
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,72,Ludwigslust-Parchim,12,14,19,22,15,15,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,73,Märkisch-Oderland,2,4,4,8,17,16,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,74,Mecklenb.,32,39,27,22,43,29,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,76,Oberhavel,5,4,7,8,10,16,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,80,Potsdam-Mittelmark,27,32,22,43,47,49,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,82,Rostock,49,60,57,61,55,53,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,83,Rostock,29,17,28,24,21,17,1,1
1,Nord,2,Nord Ost,25323,25117,24412,24678,22518,27203,,4,Bremen,88,Vorpommern-Greifswald,10,36,35,24,35,31,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,92,Bautzen,10,5,9,13,7,11,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,95,Chemnitz,7,9,13,9,21,9,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,97,Dresden,34,38,52,54,62,74,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,100,Erfurt,15,11,10,15,23,18,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,106,Halle (Saale),21,13,18,29,19,27,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,111,Jerichower Land,16,24,6,16,11,15,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,113,Leipzig,34,39,70,70,57,92,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,114,Leipzig,5,5,2,2,5,10,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,115,Magdeburg,29,16,23,31,35,52,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,118,Mittelsachsen,15,10,6,5,9,7,1,1
1,Nord,3,Ost,15098,13269,13911,13695,13710,15072,,4,Bremen,136,Zwickau,5,7,4,8,12,12,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,145,Augsburg,31,13,13,28,39,17,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,146,Augsburg,16,5,4,13,2,10,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,168,Freising,6,7,10,21,22,14,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,170,Fürstenfeldbruck,14,4,11,3,7,12,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,171,Fürth,1,0,4,8,10,3,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,195,München,181,195,172,249,260,206,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,196,München,25,23,26,26,29,29,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,202,Nürnberg,46,51,42,43,67,56,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,210,Regensburg,15,8,10,6,19,12,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,214,Rosenheim,8,5,4,6,18,13,1,1
1,Nord,4,Süd Ost,16976,14336,13647,15272,13832,13938,,4,Bremen,231,Würzburg,13,13,14,29,20,6,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,236,Böblingen,27,32,17,33,19,25,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,237,Bodenseekreis,10,19,19,12,28,24,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,238,Breisgau,20,15,18,14,35,17,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,241,Enzkreis,9,5,6,1,10,6,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,242,Esslingen,36,18,28,42,32,22,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,243,Freiburg,46,58,61,62,43,37,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,246,Heidelberg,38,33,31,44,34,32,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,249,Heilbronn,13,8,9,12,22,11,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,251,Karlsruhe,31,34,28,48,40,32,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,252,Karlsruhe,18,13,9,28,19,25,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,253,Konstanz,31,33,35,31,26,36,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,255,Ludwigsburg,27,33,10,34,36,16,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,257,Mannheim,17,32,28,45,33,35,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,259,Ortenaukreis,6,21,11,17,20,16,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,260,Ostalbkreis,16,9,9,14,8,13,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,262,Rastatt,14,12,10,8,10,8,1,1
1,Nord,5,Süd West,15413,14829,13646,13549,13354,12933,,4,Bremen,263,Ravensburg,7,6,11,5,12,12,1,1
